iteration,acceptance,ed
iteration 1 of 100, acceptance rate: 0.497069, ed: 0.025
iteration 2 of 100, acceptance rate: 0.285111, ed: 0.025
iteration 3 of 100, acceptance rate: 0.393723, ed: 0.0125
iteration 4 of 100, acceptance rate: 0.501785, ed: 0.00625
iteration 5 of 100, acceptance rate: 0.400211, ed: 0.00625
iteration 6 of 100, acceptance rate: 0.336162, ed: 0.00625
iteration 7 of 100, acceptance rate: 0.491213, ed: 0.003125
iteration 8 of 100, acceptance rate: 0.399028, ed: 0.003125
iteration 9 of 100, acceptance rate: 0.537174, ed: 0.0015625
iteration 10 of 100, acceptance rate: 0.454615, ed: 0.0015625
iteration 11 of 100, acceptance rate: 0.415303, ed: 0.0015625
iteration 12 of 100, acceptance rate: 0.384404, ed: 0.0015625
iteration 13 of 100, acceptance rate: 0.535272, ed: 0.00078125
iteration 14 of 100, acceptance rate: 0.463557, ed: 0.00078125
iteration 15 of 100, acceptance rate: 0.428177, ed: 0.00078125
iteration 16 of 100, acceptance rate: 0.408084, ed: 0.00078125
iteration 17 of 100, acceptance rate: 0.393184, ed: 0.00078125
iteration 18 of 100, acceptance rate: 0.534259, ed: 0.000390625
iteration 19 of 100, acceptance rate: 0.460639, ed: 0.000390625
iteration 20 of 100, acceptance rate: 0.432852, ed: 0.000390625
iteration 21 of 100, acceptance rate: 0.411997, ed: 0.000390625
iteration 22 of 100, acceptance rate: 0.403458, ed: 0.000390625
iteration 23 of 100, acceptance rate: 0.390873, ed: 0.000390625
iteration 24 of 100, acceptance rate: 0.532647, ed: 0.000195313
iteration 25 of 100, acceptance rate: 0.457233, ed: 0.000195313
iteration 26 of 100, acceptance rate: 0.428595, ed: 0.000195313
iteration 27 of 100, acceptance rate: 0.411632, ed: 0.000195313
iteration 28 of 100, acceptance rate: 0.398895, ed: 0.000195313
iteration 29 of 100, acceptance rate: 0.53032, ed: 9.76563e-05
iteration 30 of 100, acceptance rate: 0.456137, ed: 9.76563e-05
iteration 31 of 100, acceptance rate: 0.425045, ed: 9.76563e-05
iteration 32 of 100, acceptance rate: 0.401271, ed: 9.76563e-05
iteration 33 of 100, acceptance rate: 0.391638, ed: 9.76563e-05
iteration 34 of 100, acceptance rate: 0.524747, ed: 4.88281e-05
iteration 35 of 100, acceptance rate: 0.448239, ed: 4.88281e-05
iteration 36 of 100, acceptance rate: 0.417798, ed: 4.88281e-05
iteration 37 of 100, acceptance rate: 0.392524, ed: 4.88281e-05
iteration 38 of 100, acceptance rate: 0.529769, ed: 2.44141e-05
iteration 39 of 100, acceptance rate: 0.452282, ed: 2.44141e-05
iteration 40 of 100, acceptance rate: 0.419502, ed: 2.44141e-05
iteration 41 of 100, acceptance rate: 0.397286, ed: 2.44141e-05
iteration 42 of 100, acceptance rate: 0.530711, ed: 1.2207e-05
iteration 43 of 100, acceptance rate: 0.449038, ed: 1.2207e-05
iteration 44 of 100, acceptance rate: 0.414963, ed: 1.2207e-05
iteration 45 of 100, acceptance rate: 0.397813, ed: 1.2207e-05
iteration 46 of 100, acceptance rate: 0.528592, ed: 6.10352e-06
iteration 47 of 100, acceptance rate: 0.451269, ed: 6.10352e-06
iteration 48 of 100, acceptance rate: 0.416651, ed: 6.10352e-06
iteration 49 of 100, acceptance rate: 0.395663, ed: 6.10352e-06
iteration 50 of 100, acceptance rate: 0.532564, ed: 3.05176e-06
iteration 51 of 100, acceptance rate: 0.447827, ed: 3.05176e-06
iteration 52 of 100, acceptance rate: 0.418042, ed: 3.05176e-06
iteration 53 of 100, acceptance rate: 0.396425, ed: 3.05176e-06
iteration 54 of 100, acceptance rate: 0.529905, ed: 1.52588e-06
iteration 55 of 100, acceptance rate: 0.451718, ed: 1.52588e-06
iteration 56 of 100, acceptance rate: 0.415991, ed: 1.52588e-06
iteration 57 of 100, acceptance rate: 0.396915, ed: 1.52588e-06
iteration 58 of 100, acceptance rate: 0.52927, ed: 7.62939e-07
iteration 59 of 100, acceptance rate: 0.449475, ed: 7.62939e-07
iteration 60 of 100, acceptance rate: 0.412434, ed: 7.62939e-07
iteration 61 of 100, acceptance rate: 0.394284, ed: 7.62939e-07
iteration 62 of 100, acceptance rate: 0.526184, ed: 3.8147e-07
iteration 63 of 100, acceptance rate: 0.44796, ed: 3.8147e-07
iteration 64 of 100, acceptance rate: 0.417001, ed: 3.8147e-07
iteration 65 of 100, acceptance rate: 0.394687, ed: 3.8147e-07
iteration 66 of 100, acceptance rate: 0.527052, ed: 1.90735e-07
iteration 67 of 100, acceptance rate: 0.448428, ed: 1.90735e-07
iteration 68 of 100, acceptance rate: 0.414879, ed: 1.90735e-07
iteration 69 of 100, acceptance rate: 0.394473, ed: 1.90735e-07
iteration 70 of 100, acceptance rate: 0.525642, ed: 9.53674e-08
iteration 71 of 100, acceptance rate: 0.446107, ed: 9.53674e-08
iteration 72 of 100, acceptance rate: 0.414585, ed: 9.53674e-08
iteration 73 of 100, acceptance rate: 0.391982, ed: 9.53674e-08
iteration 74 of 100, acceptance rate: 0.524809, ed: 4.76837e-08
iteration 75 of 100, acceptance rate: 0.442996, ed: 4.76837e-08
iteration 76 of 100, acceptance rate: 0.411678, ed: 4.76837e-08
iteration 77 of 100, acceptance rate: 0.389968, ed: 4.76837e-08
iteration 78 of 100, acceptance rate: 0.52549, ed: 2.38419e-08
iteration 79 of 100, acceptance rate: 0.443861, ed: 2.38419e-08
iteration 80 of 100, acceptance rate: 0.409513, ed: 2.38419e-08
iteration 81 of 100, acceptance rate: 0.394798, ed: 2.38419e-08
iteration 82 of 100, acceptance rate: 0.522317, ed: 1.19209e-08
iteration 83 of 100, acceptance rate: 0.444976, ed: 1.19209e-08
iteration 84 of 100, acceptance rate: 0.407997, ed: 1.19209e-08
iteration 85 of 100, acceptance rate: 0.393497, ed: 1.19209e-08
iteration 86 of 100, acceptance rate: 0.529444, ed: 5.96046e-09
iteration 87 of 100, acceptance rate: 0.445813, ed: 5.96046e-09
iteration 88 of 100, acceptance rate: 0.414699, ed: 5.96046e-09
iteration 89 of 100, acceptance rate: 0.392425, ed: 5.96046e-09
iteration 90 of 100, acceptance rate: 0.528573, ed: 2.98023e-09
iteration 91 of 100, acceptance rate: 0.448137, ed: 2.98023e-09
iteration 92 of 100, acceptance rate: 0.413407, ed: 2.98023e-09
iteration 93 of 100, acceptance rate: 0.393175, ed: 2.98023e-09
iteration 94 of 100, acceptance rate: 0.523932, ed: 1.49012e-09
iteration 95 of 100, acceptance rate: 0.447148, ed: 1.49012e-09
iteration 96 of 100, acceptance rate: 0.411929, ed: 1.49012e-09
iteration 97 of 100, acceptance rate: 0.398721, ed: 1.49012e-09
iteration 98 of 100, acceptance rate: 0.523727, ed: 7.45058e-10
iteration 99 of 100, acceptance rate: 0.45038, ed: 7.45058e-10
iteration 100 of 100, acceptance rate: 0.417079, ed: 7.45058e-10